master_observation_id,season,master_variable,source_module,source_file,source_variable,source_observation_id,transformation,verification_status
MST-2015-0040,2015/16,total_spend_to_revenue_pct,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,total_spend_to_revenue_pct,TRX-DER-2015-TOT_SPEND_REV,(total_transfer_consideration / football_turnover) * 100,Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0041,2015/16,permanent_net_spend_to_revenue_pct,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,permanent_net_spend_to_revenue_pct,TRX-DER-2015-PERM_NET_REV,(permanent_net_transfer_spend / football_turnover) * 100,Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0042,2015/16,total_net_spend_to_revenue_pct,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,total_net_spend_to_revenue_pct,TRX-DER-2015-TOT_NET_REV,(total_net_transfer_consideration / football_turnover) * 100,Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0043,2015/16,upper_bound_permanent_spend,TRANSFER,arsenal_transfers.csv,upper_bound_permanent_spend,TRX-201516-IN-001; TRX-201516-IN-002,sum(fee_gbp + add_on_fee) for permanent incoming,Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0044,2015/16,upper_bound_total_consideration,TRANSFER,arsenal_transfers.csv,upper_bound_total_consideration,TRX-201516-IN-001; TRX-201516-IN-002,sum(fee_gbp + add_on_fee) for all incoming,Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0045,2015/16,spend_add_on_differential,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,spend_add_on_differential,TRX-DER-2015-SPEND_DIFF,upper_bound_permanent_spend - permanent_gross_transfer_spend,Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0046,2015/16,spend_sensitivity_pct,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,spend_sensitivity_pct,TRX-DER-2015-SPEND_SENS_PCT,(spend_add_on_differential / permanent_gross_transfer_spend) * 100,Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0047,2015/16,transaction_count,TRANSFER,arsenal_transfers.csv,transaction_count,TRX-201516-IN-001; TRX-201516-IN-002; TRX-201516-OUT-001; TRX-201516-OUT-002; TRX-201516-OUT-003; TRX-201516-OUT-004; TRX-201516-OUT-005,count of all transactions in season,Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0048,2015/16,incoming_count,TRANSFER,arsenal_transfers.csv,incoming_count,TRX-201516-IN-001; TRX-201516-IN-002,count of incoming transactions in season,Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0049,2015/16,outgoing_count,TRANSFER,arsenal_transfers.csv,outgoing_count,TRX-201516-OUT-001; TRX-201516-OUT-002; TRX-201516-OUT-003; TRX-201516-OUT-004; TRX-201516-OUT-005,count of outgoing transactions in season,Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0050,2015/16,permanent_count,TRANSFER,arsenal_transfers.csv,permanent_count,TRX-201516-IN-001; TRX-201516-IN-002; TRX-201516-OUT-001; TRX-201516-OUT-002; TRX-201516-OUT-003,count of permanent transactions in season,Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0051,2015/16,loan_count,TRANSFER,arsenal_transfers.csv,loan_count,TRX-201516-OUT-004; TRX-201516-OUT-005,count of temporary loan arrangements in season,Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0052,2015/16,exact_fee_count,TRANSFER,arsenal_transfers.csv,exact_fee_count,TRX-201516-OUT-001,count where fee_value_status == 'EXACT',Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0053,2015/16,estimated_fee_count,TRANSFER,arsenal_transfers.csv,estimated_fee_count,TRX-201516-IN-001; TRX-201516-IN-002,"count where fee_value_status in {'ESTIMATED', 'BASE_PLUS_ADDONS'}",Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0054,2015/16,undisclosed_fee_count,TRANSFER,arsenal_transfers.csv,undisclosed_fee_count,TRX-201516-IN-001; TRX-201516-IN-002,count where fee_disclosure_status == 'UNDISCLOSED',Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0055,2015/16,zero_free_count,TRANSFER,arsenal_transfers.csv,zero_free_count,TRX-201516-OUT-002; TRX-201516-OUT-003,count where fee_value_status == 'ZERO',Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0056,2015/16,loan_fee_count,TRANSFER,arsenal_transfers.csv,loan_fee_count,TRX-201516-OUT-004; TRX-201516-OUT-005,count where fee_value_status == 'LOAN_FEE',Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0057,2015/16,transaction_coverage_pct,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,transaction_coverage_pct,TRX-DER-2015-TRX_COV_PCT,(verified_transactions / identified_total) * 100,Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0058,2015/16,numerical_fee_coverage_pct,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,numerical_fee_coverage_pct,TRX-DER-2015-NUM_COV_PCT,(numerical_fees / non_free_transactions) * 100,Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0059,2015/16,exact_fee_coverage_pct,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,exact_fee_coverage_pct,TRX-DER-2015-EXACT_COV_PCT,(exact_fee_count / transaction_count) * 100,Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0060,2015/16,primary_fee_coverage_pct,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,primary_fee_coverage_pct,TRX-DER-2015-PRIM_COV_PCT,((exact_fee_count + zero_free_count) / transaction_count) * 100,Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0061,2015/16,estimated_value_share_pct,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,estimated_value_share_pct,TRX-DER-2015-EST_VAL_SHARE,(estimated_consideration / total_season_consideration) * 100,Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0062,2015/16,classification,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,classification,TRX-DER-2015-CLASS,Structural classification: all 10 seasons verified as CORE,Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0063,2015/16,notes,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,notes,TRX-DER-2015-NOTES,Structured seasonal transfer audit summary string,Reconciled Transaction Ledger & Primary Disclosures
MST-2015-0064,2015/16,league_position,SPORTING,arsenal_sporting.csv,league_position,SPT-PROV-2015-001,Direct Ranking from Official Table,Primary Regulatory Record
MST-2015-0065,2015/16,points,SPORTING,arsenal_sporting.csv,points,SPT-PROV-2015-002,None (Directly Reported),Primary Regulatory Record
MST-2015-0066,2015/16,matches_played,SPORTING,arsenal_sporting.csv,matches_played,SPT-PROV-2015-003,None (Directly Reported),Primary Regulatory Record
MST-2015-0067,2015/16,wins,SPORTING,arsenal_sporting.csv,wins,SPT-PROV-2015-004,None (Directly Reported),Primary Regulatory Record
MST-2015-0068,2015/16,draws,SPORTING,arsenal_sporting.csv,draws,SPT-PROV-2015-005,None (Directly Reported),Primary Regulatory Record
MST-2015-0069,2015/16,losses,SPORTING,arsenal_sporting.csv,losses,SPT-PROV-2015-006,None (Directly Reported),Primary Regulatory Record
MST-2015-0070,2015/16,goals_for,SPORTING,arsenal_sporting.csv,goals_for,SPT-PROV-2015-007,None (Directly Reported),Primary Regulatory Record
MST-2015-0071,2015/16,goals_against,SPORTING,arsenal_sporting.csv,goals_against,SPT-PROV-2015-008,None (Directly Reported),Primary Regulatory Record
MST-2015-0072,2015/16,goal_difference,SPORTING,arsenal_sporting.csv,goal_difference,SPT-PROV-2015-009,goals_for - goals_against,Derived from Primary Inputs
MST-2015-0073,2015/16,ppg,SPORTING,arsenal_sporting.csv,ppg,SPT-PROV-2015-010,points / matches_played,Derived from Primary Inputs
MST-2015-0074,2015/16,fa_cup_stage,SPORTING,arsenal_sporting.csv,fa_cup_stage,SPT-PROV-2015-011,Direct Tournament Round Record,Primary Regulatory Record
MST-2015-0075,2015/16,fa_cup_matches,SPORTING,arsenal_sporting.csv,fa_cup_matches,SPT-PROV-2015-012,Direct Match Count,Primary Regulatory Record
MST-2015-0076,2015/16,fa_cup_wins,SPORTING,arsenal_sporting.csv,fa_cup_wins,SPT-PROV-2015-013,Direct Match Count,Primary Regulatory Record
MST-2015-0077,2015/16,fa_cup_draws,SPORTING,arsenal_sporting.csv,fa_cup_draws,SPT-PROV-2015-014,Direct Match Count,Primary Regulatory Record
MST-2015-0078,2015/16,fa_cup_losses,SPORTING,arsenal_sporting.csv,fa_cup_losses,SPT-PROV-2015-015,Direct Match Count,Primary Regulatory Record
MST-2015-0079,2015/16,fa_cup_goals_for,SPORTING,arsenal_sporting.csv,fa_cup_goals_for,SPT-PROV-2015-016,Direct Goal Sum,Primary Regulatory Record
MST-2015-0080,2015/16,fa_cup_goals_against,SPORTING,arsenal_sporting.csv,fa_cup_goals_against,SPT-PROV-2015-017,Direct Goal Sum,Primary Regulatory Record
MST-2015-0081,2015/16,fa_cup_trophy,SPORTING,arsenal_sporting.csv,fa_cup_trophy,SPT-PROV-2015-018,Direct Tournament Victory Record,Primary Regulatory Record
MST-2015-0082,2015/16,league_cup_stage,SPORTING,arsenal_sporting.csv,league_cup_stage,SPT-PROV-2015-019,Direct Tournament Round Record,Primary Regulatory Record
MST-2015-0083,2015/16,league_cup_matches,SPORTING,arsenal_sporting.csv,league_cup_matches,SPT-PROV-2015-020,Direct Match Count,Primary Regulatory Record
MST-2015-0084,2015/16,league_cup_wins,SPORTING,arsenal_sporting.csv,league_cup_wins,SPT-PROV-2015-021,Direct Match Count,Primary Regulatory Record
MST-2015-0085,2015/16,league_cup_draws,SPORTING,arsenal_sporting.csv,league_cup_draws,SPT-PROV-2015-022,Direct Match Count,Primary Regulatory Record
MST-2015-0086,2015/16,league_cup_losses,SPORTING,arsenal_sporting.csv,league_cup_losses,SPT-PROV-2015-023,Direct Match Count,Primary Regulatory Record
MST-2015-0087,2015/16,league_cup_goals_for,SPORTING,arsenal_sporting.csv,league_cup_goals_for,SPT-PROV-2015-024,Direct Goal Sum,Primary Regulatory Record
MST-2015-0088,2015/16,league_cup_goals_against,SPORTING,arsenal_sporting.csv,league_cup_goals_against,SPT-PROV-2015-025,Direct Goal Sum,Primary Regulatory Record
MST-2015-0089,2015/16,league_cup_trophy,SPORTING,arsenal_sporting.csv,league_cup_trophy,SPT-PROV-2015-026,Direct Tournament Victory Record,Primary Regulatory Record
MST-2015-0090,2015/16,europe_competition,SPORTING,arsenal_sporting.csv,europe_competition,SPT-PROV-2015-027,Direct UEFA Participation Record,Primary Regulatory Record
MST-2015-0091,2015/16,europe_stage,SPORTING,arsenal_sporting.csv,europe_stage,SPT-PROV-2015-028,Direct UEFA Round Record,Primary Regulatory Record
MST-2015-0092,2015/16,europe_matches,SPORTING,arsenal_sporting.csv,europe_matches,SPT-PROV-2015-029,Direct Match Count,Primary Regulatory Record
MST-2015-0093,2015/16,europe_wins,SPORTING,arsenal_sporting.csv,europe_wins,SPT-PROV-2015-030,Direct Match Count,Primary Regulatory Record
MST-2015-0094,2015/16,europe_draws,SPORTING,arsenal_sporting.csv,europe_draws,SPT-PROV-2015-031,Direct Match Count,Primary Regulatory Record
MST-2015-0095,2015/16,europe_losses,SPORTING,arsenal_sporting.csv,europe_losses,SPT-PROV-2015-032,Direct Match Count,Primary Regulatory Record
MST-2015-0096,2015/16,europe_goals_for,SPORTING,arsenal_sporting.csv,europe_goals_for,SPT-PROV-2015-033,Direct Goal Sum,Primary Regulatory Record
MST-2015-0097,2015/16,europe_goals_against,SPORTING,arsenal_sporting.csv,europe_goals_against,SPT-PROV-2015-034,Direct Goal Sum,Primary Regulatory Record
MST-2015-0098,2015/16,europe_trophy,SPORTING,arsenal_sporting.csv,europe_trophy,SPT-PROV-2015-035,Direct Tournament Victory Record,Primary Regulatory Record
MST-2015-0099,2015/16,xg,SPORTING,arsenal_sporting.csv,xg,SPT-PROV-2015-036,Direct Model Sum (Understat),Third-Party Analytics Model
MST-2015-0100,2015/16,xga,SPORTING,arsenal_sporting.csv,xga,SPT-PROV-2015-037,Direct Model Sum (Understat),Third-Party Analytics Model
MST-2015-0101,2015/16,xgd,SPORTING,arsenal_sporting.csv,xgd,SPT-PROV-2015-038,xg - xga,Derived from Third-Party Inputs
MST-2015-0102,2015/16,xpts,SPORTING,arsenal_sporting.csv,xpts,SPT-PROV-2015-039,Understat/model-derived metric,Third-Party Analytics Model
MST-2015-0103,2015/16,ppda,SPORTING,arsenal_sporting.csv,ppda,SPT-PROV-2015-040,Direct Model: sum(att) / sum(def),Third-Party Analytics Model
MST-2015-0104,2015/16,possession_pct,SPORTING,arsenal_sporting.csv,possession_pct,SPT-PROV-2015-041,Arithmetic mean: raw_possession / 38,Derived from Primary Inputs
MST-2015-0105,2015/16,shots,SPORTING,arsenal_sporting.csv,shots,SPT-PROV-2015-042,Direct: total_scoring_att,Primary Regulatory Record
MST-2015-0106,2015/16,shots_on_target,SPORTING,arsenal_sporting.csv,shots_on_target,SPT-PROV-2015-043,Direct: ontarget_scoring_att,Primary Regulatory Record
MST-2015-0107,2015/16,covid_disruption_flag,SPORTING,arsenal_sporting.csv,covid_disruption_flag,SPT-PROV-2015-044,Direct: Calendar Shock,Primary Regulatory Record
MST-2016-0108,2016/17,financial_year,FINANCIAL,arsenal_financials.csv,financial_year,FIN-FY2017-FOOTBA-0020,Direct Calendar Alignment (31 May),Audited Statutory Accounts (Companies House)
MST-2016-0109,2016/17,football_turnover,FINANCIAL,arsenal_financials.csv,football_turnover,FIN-FY2017-FOOTBA-0020,None (Directly Reported in £m),Primary Audited
MST-2016-0110,2016/17,total_turnover,FINANCIAL,arsenal_financials.csv,total_turnover,FIN-FY2017-TOTAL_-0021,None (Directly Reported in £m),Primary Audited
MST-2016-0111,2016/17,broadcast_revenue,FINANCIAL,arsenal_financials.csv,broadcast_revenue,FIN-FY2017-BROADC-0022,None (Directly Reported in £m),Primary Audited
MST-2016-0112,2016/17,commercial_revenue,FINANCIAL,arsenal_financials.csv,commercial_revenue,FIN-FY2017-COMMER-0023,None (Directly Reported in £m),Primary Audited
MST-2016-0113,2016/17,matchday_revenue,FINANCIAL,arsenal_financials.csv,matchday_revenue,FIN-FY2017-MATCHD-0024,None (Directly Reported in £m),Primary Audited
MST-2016-0114,2016/17,staff_costs,FINANCIAL,arsenal_financials.csv,staff_costs,FIN-FY2017-STAFF_-0025,None (Directly Reported in £m),Primary Audited
MST-2016-0115,2016/17,operating_expenses,FINANCIAL,arsenal_financials.csv,operating_expenses,FIN-FY2017-OPERAT-0026,None (Directly Reported in £m),Primary Audited
MST-2016-0116,2016/17,player_amortisation,FINANCIAL,arsenal_financials.csv,player_amortisation,FIN-FY2017-PLAYER-0027,None (Directly Reported in £m),Primary Audited
MST-2016-0117,2016/17,player_impairment,FINANCIAL,arsenal_financials.csv,player_impairment,FIN-FY2017-PLAYER-0028,None (Directly Reported in £m),Primary Audited
MST-2016-0118,2016/17,depreciation,FINANCIAL,arsenal_financials.csv,depreciation,FIN-FY2017-DEPREC-0029,None (Directly Reported in £m),Primary Audited
MST-2016-0119,2016/17,operating_profit_loss,FINANCIAL,arsenal_financials.csv,operating_profit_loss,FIN-FY2017-OPERAT-0030,None (Directly Reported in £m),Primary Audited
MST-2016-0120,2016/17,net_profit_loss,FINANCIAL,arsenal_financials.csv,net_profit_loss,FIN-FY2017-NET_PR-0031,None (Directly Reported in £m),Primary Audited
MST-2016-0121,2016/17,cash,FINANCIAL,arsenal_financials.csv,cash,FIN-FY2017-CASH-0032,None (Directly Reported in £m),Primary Audited
MST-2016-0122,2016/17,gross_debt,FINANCIAL,arsenal_financials.csv,gross_debt,FIN-FY2017-GROSS_-0033,None (Directly Reported in £m),Primary Audited
MST-2016-0123,2016/17,net_debt,FINANCIAL,arsenal_financials.csv,net_debt,FIN-FY2017-NET_DE-0034,gross_debt - cash,Primary Audited
MST-2016-0124,2016/17,net_finance_costs,FINANCIAL,arsenal_financials.csv,net_finance_costs,FIN-FY2017-NET_FI-0035,None (Directly Reported in £m),Primary Audited
MST-2016-0125,2016/17,profit_on_player_disposals,FINANCIAL,arsenal_financials.csv,profit_on_player_disposals,FIN-FY2017-PROFIT-0036,None (Directly Reported in £m),Primary Audited
MST-2016-0126,2016/17,player_registration_additions,FINANCIAL,arsenal_financials.csv,player_registration_additions,FIN-FY2017-PLAYER-0037,None (Directly Reported in £m),Primary Audited
MST-2016-0127,2016/17,player_registration_nbv,FINANCIAL,arsenal_financials.csv,player_registration_nbv,FIN-FY2017-PLAYER-0038,None (Directly Reported in £m),Primary Audited
MST-2016-0128,2016/17,revenue_growth_pct,FINANCIAL,arsenal_financials.csv,revenue_growth_pct,DER-FY2017-REVENU-0201,((football_turnover_t - football_turnover_{t-1}) / football_turnover_{t-1}) * 100,Derived Analytical
MST-2016-0129,2016/17,commercial_share_pct,FINANCIAL,arsenal_financials.csv,commercial_share_pct,DER-FY2017-COMMER-0202,(commercial_revenue / football_turnover) * 100,Derived Analytical
MST-2016-0130,2016/17,broadcast_share_pct,FINANCIAL,arsenal_financials.csv,broadcast_share_pct,DER-FY2017-BROADC-0203,(broadcast_revenue / football_turnover) * 100,Derived Analytical
MST-2016-0131,2016/17,matchday_share_pct,FINANCIAL,arsenal_financials.csv,matchday_share_pct,DER-FY2017-MATCHD-0204,(matchday_revenue / football_turnover) * 100,Derived Analytical
MST-2016-0132,2016/17,wage_to_revenue_pct,FINANCIAL,arsenal_financials.csv,wage_to_revenue_pct,DER-FY2017-WAGE_T-0205,(staff_costs / football_turnover) * 100,Derived Analytical
MST-2016-0133,2016/17,operating_margin_pct,FINANCIAL,arsenal_financials.csv,operating_margin_pct,DER-FY2017-OPERAT-0206,(operating_profit_loss / football_turnover) * 100,Derived Analytical
MST-2016-0134,2016/17,net_margin_pct,FINANCIAL,arsenal_financials.csv,net_margin_pct,DER-FY2017-NET_MA-0207,(net_profit_loss / football_turnover) * 100,Derived Analytical
MST-2016-0135,2016/17,net_debt_to_revenue_pct,FINANCIAL,arsenal_financials.csv,net_debt_to_revenue_pct,DER-FY2017-NET_DE-0208,(net_debt / football_turnover) * 100,Derived Analytical
MST-2016-0136,2016/17,net_finance_cost_to_revenue_pct,FINANCIAL,arsenal_financials.csv,net_finance_cost_to_revenue_pct,DER-FY2017-NET_FI-0209,(net_finance_costs / football_turnover) * 100,Derived Analytical
MST-2016-0137,2016/17,amortisation_to_revenue_pct,FINANCIAL,arsenal_financials.csv,amortisation_to_revenue_pct,DER-FY2017-AMORTI-0210,(player_amortisation / football_turnover) * 100,Derived Analytical
MST-2016-0138,2016/17,permanent_gross_transfer_spend,TRANSFER,arsenal_transfers.csv,permanent_gross_transfer_spend,TRX-201617-IN-003; TRX-201617-IN-004; TRX-201617-IN-005; TRX-201617-IN-006; TRX-201617-IN-007,sum(fee_gbp) for permanent incoming transfers,Reconciled Transaction Ledger & Primary Disclosures
MST-2016-0139,2016/17,loan_fee_spend,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,loan_fee_spend,TRX-DER-2016-LOAN_SPEND,sum(fee_gbp) for loan incoming transfers,Reconciled Transaction Ledger & Primary Disclosures
MST-2016-0140,2016/17,total_transfer_consideration,TRANSFER,TRANSFER_DERIVED_PROVENANCE.csv,total_transfer_consideration,TRX-DER-2016-TOTAL_CONSID,permanent_gross_transfer_spend + loan_fee_spend,Reconciled Transaction Ledger & Primary Disclosures
MST-2016-0141,2016/17,permanent_transfer_income,TRANSFER,arsenal_transfers.csv,permanent_transfer_income,TRX-201617-OUT-006; TRX-201617-OUT-007; TRX-201617-OUT-008; TRX-201617-OUT-009; TRX-201617-OUT-010,sum(fee_gbp) for permanent outgoing transfers,Reconciled Transaction Ledger & Primary Disclosures
MST-2016-0142,2016/17,loan_income,TRANSFER,arsenal_transfers.csv,loan_income,TRX-201617-OUT-011,sum(fee_gbp) for loan outgoing transfers,Reconciled Transaction Ledger & Primary Disclosures
