observation_id,season,financial_year,variable,final_value,raw_value,unit,source_entity,document_title,document_date,page,table_or_note,source_url,transformation,definition,comparability_status,verification_status,notes
FIN-FY2016-OPERAT-0011,2015/16,FY2016,operating_profit_loss,16.50,16.50,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2016,2017-01-17,p. 23,Consolidated Profit and Loss Account,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Statutory operating result after player amortisation and impairments but before finance costs and tax,Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2016-NET_PR-0012,2015/16,FY2016,net_profit_loss,1.65,1.65,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2016,2017-01-17,p. 23,Consolidated Profit and Loss Account,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Retained profit or loss for the financial reporting year after net finance costs and taxation,Qualified (COVID Timing),Primary Audited,Normal operations; no COVID disruption.
FIN-FY2016-CASH-0013,2015/16,FY2016,cash,226.50,226.50,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2016,2017-01-17,p. 25,Consolidated Balance Sheet,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Cash held at bank and short-term deposits at reporting year end under IAS 7,Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2016-GROSS_-0014,2015/16,FY2016,gross_debt,233.00,233.00,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2016,2017-01-17,"p. 38, Note 17",Note 17 (Borrowings),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Total current and non-current financial borrowings (stadium bonds to 2020; KSE loan thereafter),Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2016-NET_DE-0015,2015/16,FY2016,net_debt,6.50,6.50,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2016,2017-01-17,"p. 25 & p. 38, Note 17",Balance Sheet & Note 17,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0,gross_debt - cash,Gross borrowings less cash and cash equivalents at reporting date (disclosed in Note 17 / Balance Sheet),Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2016-NET_FI-0016,2015/16,FY2016,net_finance_costs,12.40,12.40,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2016,2017-01-17,p. 23,Consolidated Profit and Loss Account,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),"Net finance expenses payable including bond interest, loan interest, bank charges less interest received under IFRS 9 / IAS 23",Qualified (COVID Timing),Primary Audited,Normal operations; no COVID disruption.
FIN-FY2016-PROFIT-0017,2015/16,FY2016,profit_on_player_disposals,2.00,2.00,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2016,2017-01-17,p. 23,Consolidated Profit and Loss Account,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Net accounting profit on disposal/derecognition of intangible player registrations under IAS 38 (consideration less unamortised net book value). Distinct from net market transfer spending.,Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2016-PLAYER-0018,2015/16,FY2016,player_registration_additions,54.40,54.40,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2016,2017-01-17,"p. 34, Note 10",Note 10 (Intangible Assets),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),"Capitalized additions to intangible player registrations under IAS 38 (includes transfer fees, agent fees, signing bonuses). Distinct from headline market transfer fees.",Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2016-PLAYER-0019,2015/16,FY2016,player_registration_nbv,114.80,114.80,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2016,2017-01-17,"p. 34, Note 10",Note 10 (Intangible Assets),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE2Njc3MDIwNGFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Carrying balance sheet value of intangible player registrations at reporting date under IAS 38,Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2017-FOOTBA-0020,2016/17,FY2017,football_turnover,422.80,422.80,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2017,2017-12-04,"p. 30, Note 1",Note 1 (Turnover),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Turnover generated strictly from football activities excluding property development,Qualified (COVID Timing),Primary Audited,Total turnover includes £1.20m property turnover; football turnover is £422.80m.
FIN-FY2017-TOTAL_-0021,2016/17,FY2017,total_turnover,424.00,424.00,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2017,2017-12-04,"p. 30, Note 1",Consolidated Profit and Loss Account,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Consolidated Group revenue including football operations and legacy property development,Qualified (COVID Timing),Primary Audited,Total turnover includes £1.20m property turnover; football turnover is £422.80m.
FIN-FY2017-BROADC-0022,2016/17,FY2017,broadcast_revenue,179.90,179.90,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2017,2017-12-04,"p. 30, Note 1",Note 1 (Turnover),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Distributions from Premier League domestic/overseas TV contracts and UEFA competition rights,Qualified (COVID Timing),Primary Audited,Normal operations; no COVID disruption.
FIN-FY2017-COMMER-0023,2016/17,FY2017,commercial_revenue,141.00,141.00,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2017,2017-12-04,"p. 30, Note 1",Note 1 (Turnover),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),"Revenue from sponsorships, partnerships, merchandising, retail, licensing and stadium tours",Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2017-MATCHD-0024,2016/17,FY2017,matchday_revenue,101.90,101.90,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2017,2017-12-04,"p. 30, Note 1",Note 1 (Turnover),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),"Ticket sales, gate receipts, club level hospitality and matchday cup receipts",Qualified (COVID Timing),Primary Audited,Normal operations; no COVID disruption.
FIN-FY2017-STAFF_-0025,2016/17,FY2017,staff_costs,199.40,199.40,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2017,2017-12-04,"p. 31, Note 3",Note 3 (Employees and Directors),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),"Total group employment expenditure across all playing, coaching, administrative, executive, and operational staff under IAS 19. Does not isolate first-team player wages.",Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2017-OPERAT-0026,2016/17,FY2017,operating_expenses,80.40,80.40,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2017,2017-12-04,"p. 30, Note 2",Note 2 (Operating Expenses),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),"Other operating charges excluding staff costs, player amortisation, and tangible depreciation",Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2017-PLAYER-0027,2016/17,FY2017,player_amortisation,77.10,77.10,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2017,2017-12-04,"p. 36, Note 10",Note 10 (Intangible Assets),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Annual non-cash straight-line amortisation of capitalized registration costs under IAS 38,Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2017-PLAYER-0028,2016/17,FY2017,player_impairment,0.00,0.00,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2017,2017-12-04,"p. 36, Note 10",Note 10 (Intangible Assets),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Non-cash impairment write-downs or contract termination charges on player registrations under IAS 36/38,Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2017-DEPREC-0029,2016/17,FY2017,depreciation,12.70,12.70,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2017,2017-12-04,"p. 35, Note 9",Note 9 (Tangible Fixed Assets),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Annual depreciation of tangible fixed assets including Emirates Stadium and facilities under IAS 16,Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2017-OPERAT-0030,2016/17,FY2017,operating_profit_loss,43.40,43.40,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2017,2017-12-04,p. 25,Consolidated Profit and Loss Account,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Statutory operating result after player amortisation and impairments but before finance costs and tax,Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2017-NET_PR-0031,2016/17,FY2017,net_profit_loss,35.30,35.30,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2017,2017-12-04,p. 25,Consolidated Profit and Loss Account,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Retained profit or loss for the financial reporting year after net finance costs and taxation,Qualified (COVID Timing),Primary Audited,Normal operations; no COVID disruption.
FIN-FY2017-CASH-0032,2016/17,FY2017,cash,231.30,231.30,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2017,2017-12-04,p. 27,Consolidated Balance Sheet,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Cash held at bank and short-term deposits at reporting year end under IAS 7,Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2017-GROSS_-0033,2016/17,FY2017,gross_debt,226.90,226.90,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2017,2017-12-04,"p. 40, Note 17",Note 17 (Borrowings),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Total current and non-current financial borrowings (stadium bonds to 2020; KSE loan thereafter),Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2017-NET_DE-0034,2016/17,FY2017,net_debt,-4.40,-4.40,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2017,2017-12-04,"p. 27 & p. 40, Note 17",Balance Sheet & Note 17,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0,gross_debt - cash,Gross borrowings less cash and cash equivalents at reporting date (disclosed in Note 17 / Balance Sheet),Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2017-NET_FI-0035,2016/17,FY2017,net_finance_costs,13.30,13.30,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2017,2017-12-04,p. 25,Consolidated Profit and Loss Account,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),"Net finance expenses payable including bond interest, loan interest, bank charges less interest received under IFRS 9 / IAS 23",Qualified (COVID Timing),Primary Audited,Normal operations; no COVID disruption.
FIN-FY2017-PROFIT-0036,2016/17,FY2017,profit_on_player_disposals,6.80,6.80,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2017,2017-12-04,p. 25,Consolidated Profit and Loss Account,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Net accounting profit on disposal/derecognition of intangible player registrations under IAS 38 (consideration less unamortised net book value). Distinct from net market transfer spending.,Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2017-PLAYER-0037,2016/17,FY2017,player_registration_additions,110.50,110.50,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2017,2017-12-04,"p. 36, Note 10",Note 10 (Intangible Assets),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),"Capitalized additions to intangible player registrations under IAS 38 (includes transfer fees, agent fees, signing bonuses). Distinct from headline market transfer fees.",Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2017-PLAYER-0038,2016/17,FY2017,player_registration_nbv,148.20,148.20,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2017,2017-12-04,"p. 36, Note 10",Note 10 (Intangible Assets),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzE5MTg1NjI2OWFkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Carrying balance sheet value of intangible player registrations at reporting date under IAS 38,Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2018-FOOTBA-0039,2017/18,FY2018,football_turnover,388.20,388.20,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2018,2019-01-28,"p. 18, Note 1",Note 1 (Turnover),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzIyNTM1MjYxN2FkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Turnover generated strictly from football activities excluding property development,Qualified (COVID Timing),Primary Audited,Total turnover includes £0.40m property turnover; football turnover is £388.20m.
FIN-FY2018-TOTAL_-0040,2017/18,FY2018,total_turnover,388.60,388.60,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2018,2019-01-28,"p. 18, Note 1",Consolidated Profit and Loss Account,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzIyNTM1MjYxN2FkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Consolidated Group revenue including football operations and legacy property development,Qualified (COVID Timing),Primary Audited,Total turnover includes £0.40m property turnover; football turnover is £388.20m.
FIN-FY2018-BROADC-0041,2017/18,FY2018,broadcast_revenue,180.40,180.40,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2018,2019-01-28,"p. 18, Note 1",Note 1 (Turnover),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzIyNTM1MjYxN2FkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Distributions from Premier League domestic/overseas TV contracts and UEFA competition rights,Qualified (COVID Timing),Primary Audited,Normal operations; no COVID disruption.
FIN-FY2018-COMMER-0042,2017/18,FY2018,commercial_revenue,108.40,108.40,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2018,2019-01-28,"p. 18, Note 1",Note 1 (Turnover),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzIyNTM1MjYxN2FkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),"Revenue from sponsorships, partnerships, merchandising, retail, licensing and stadium tours",Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2018-MATCHD-0043,2017/18,FY2018,matchday_revenue,99.40,99.40,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2018,2019-01-28,"p. 18, Note 1",Note 1 (Turnover),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzIyNTM1MjYxN2FkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),"Ticket sales, gate receipts, club level hospitality and matchday cup receipts",Qualified (COVID Timing),Primary Audited,Normal operations; no COVID disruption.
FIN-FY2018-STAFF_-0044,2017/18,FY2018,staff_costs,223.30,223.30,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2018,2019-01-28,"p. 19, Note 3",Note 3 (Employees and Directors),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzIyNTM1MjYxN2FkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),"Total group employment expenditure across all playing, coaching, administrative, executive, and operational staff under IAS 19. Does not isolate first-team player wages.",Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2018-OPERAT-0045,2017/18,FY2018,operating_expenses,72.20,72.20,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2018,2019-01-28,"p. 18, Note 2",Note 2 (Operating Expenses),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzIyNTM1MjYxN2FkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),"Other operating charges excluding staff costs, player amortisation, and tangible depreciation",Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2018-PLAYER-0046,2017/18,FY2018,player_amortisation,77.10,77.10,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2018,2019-01-28,"p. 24, Note 10",Note 10 (Intangible Assets),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzIyNTM1MjYxN2FkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Annual non-cash straight-line amortisation of capitalized registration costs under IAS 38,Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2018-PLAYER-0047,2017/18,FY2018,player_impairment,0.00,0.00,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2018,2019-01-28,"p. 24, Note 10",Note 10 (Intangible Assets),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzIyNTM1MjYxN2FkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Non-cash impairment write-downs or contract termination charges on player registrations under IAS 36/38,Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2018-DEPREC-0048,2017/18,FY2018,depreciation,12.80,12.80,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2018,2019-01-28,"p. 23, Note 9",Note 9 (Tangible Fixed Assets),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzIyNTM1MjYxN2FkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Annual depreciation of tangible fixed assets including Emirates Stadium and facilities under IAS 16,Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2018-OPERAT-0049,2017/18,FY2018,operating_profit_loss,42.20,42.20,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2018,2019-01-28,p. 14,Consolidated Profit and Loss Account,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzIyNTM1MjYxN2FkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Statutory operating result after player amortisation and impairments but before finance costs and tax,Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2018-NET_PR-0050,2017/18,FY2018,net_profit_loss,56.50,56.50,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2018,2019-01-28,p. 14,Consolidated Profit and Loss Account,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzIyNTM1MjYxN2FkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Retained profit or loss for the financial reporting year after net finance costs and taxation,Qualified (COVID Timing),Primary Audited,Normal operations; no COVID disruption.
FIN-FY2018-CASH-0051,2017/18,FY2018,cash,231.10,231.10,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2018,2019-01-28,p. 16,Consolidated Balance Sheet,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzIyNTM1MjYxN2FkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Cash held at bank and short-term deposits at reporting year end under IAS 7,Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2018-GROSS_-0052,2017/18,FY2018,gross_debt,218.20,218.20,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2018,2019-01-28,"p. 27, Note 17",Note 17 (Borrowings),https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzIyNTM1MjYxN2FkaXF6a2N4/document?format=pdf&download=0,None (Directly Reported in £m),Total current and non-current financial borrowings (stadium bonds to 2020; KSE loan thereafter),Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
FIN-FY2018-NET_DE-0053,2017/18,FY2018,net_debt,-12.90,-12.90,GBP millions,Arsenal Holdings PLC,Group of companies' accounts made up to 31 May 2018,2019-01-28,"p. 16 & p. 27, Note 17",Balance Sheet & Note 17,https://find-and-update.company-information.service.gov.uk/company/04250459/filing-history/MzIyNTM1MjYxN2FkaXF6a2N4/document?format=pdf&download=0,gross_debt - cash,Gross borrowings less cash and cash equivalents at reporting date (disclosed in Note 17 / Balance Sheet),Qualified (COVID Timing),Primary Audited,Audited primary statutory figure.
